Modify Lookahead;modifyLookahead
Query Lookahead;queryLookahead
Retract;retract
Request Retraction;requestRetraction
Change Attribute Order Type;changeAttributeOrderType
Change Interaction Order Type;changeInteractionOrderType
*;Data distribution management
Create Region;createRegion
Commit Region Modifications;commitRegionModifications
Delete Region;deleteRegion
Register Object Instance With Regions;registerObjectInstanceWithRegions
Associate Regions For Updates;associateRegionsForUpdates
Unassociate Regions For Updates;unassociateRegionsForUpdates
Subscribe Object Class Attributes With Regions;subscribeObjectClassAttributesWithRegions|subscribeObjectClassAttributesPassivelyWithRegions
Unsubscribe Object Class Attributes With Regions;unsubscribeObjectClassAttributesWithRegions
Subscribe Interaction Class With Regions;subscribeInteractionClassWithRegions|subscribeInteractionClassPassivelyWithRegions
Unsubscribe Interaction Class With Regions;unsubscribeInteractionClassWithRegions
Send Interaction With Regions;sendInteractionWithRegions
Request Attribute Value Update With Regions;requestAttributeValueUpdateWithRegions
*;Support Services
Get Automatic Resign Directive;getAutomaticResignDirective
Set Automatic Resign Directive;setAutomaticResignDirective
Get Federate Handle;getFederateHandle
Get Federate Name;getFederateName
Get Object Class Handle;getObjectClassHandle
Get Object Class Name;getObjectClassName
Get Known Object Class Handle;getKnownObjectClassHandle
Get Object Instance Handle;getObjectInstanceHandle
Get Object Instance Name;getObjectInstanceName
Get Attribute Handle;getAttributeHandle
Get Attribute Name;getAttributeName
Get Update Rate Value;getUpdateRateValue
Get Update Rate Value For Attribute;getUpdateRateValueForAttribute
Get Interaction Class Handle;getInteractionClassHandle
Get Interaction Class Name;getInteractionClassName
Get Parameter Handle;getParameterHandle
Get Parameter Name;getParameterName
Get Order Type;getOrderType
Get Order Name;getOrderName
Get Transportation Type Handle;getTransportationTypeHandle
Get Transportation Type Name;getTransportationTypeName
Get Available Dimensions For Class Attribute;getAvailableDimensionsForClassAttribute
Get Available Dimensions For Interaction Class;getAvailableDimensionsForInteractionClass
Get Dimension Handle;getDimensionHandle
Get Dimension Name;getDimensionName
Get Dimension Upper Bound;getDimensionUpperBound
Get Dimension Handle Set;getDimensionHandleSet
Get Range Bounds;getRangeBounds
Set Range Bounds;setRangeBounds
Normalize Federate Handle;normalizeFederateHandle
Normalize Service Group;normalizeServiceGroup
Enable Object Class Relevance Advisory Switch;enableObjectClassRelevanceAdvisorySwitch
Disable Object Class Relevance Advisory Switch;disableObjectClassRelevanceAdvisorySwitch
Enable Attribute Relevance Advisory Switch;enableAttributeRelevanceAdvisorySwitch
Disable Attribute Relevance Advisory Switch;disableAttributeRelevanceAdvisorySwitch
Enable Attribute Scope Advisory Switch;enableAttributeScopeAdvisorySwitch
Disable Attribute Scope Advisory Switch;disableAttributeScopeAdvisorySwitch
Enable Interaction Relevance Advisory Switch;enableInteractionRelevanceAdvisorySwitch
Disable Interaction Relevance Advisory Switch;disableInteractionRelevanceAdvisorySwitch
Evoke Callback;evokeCallback
Evoke Multiple Callbacks;evokeMultipleCallbacks
Enable Callbacks;enableCallbacks
Disable Callbacks;disableCallbacks
